open,high,low,close,real_volume,pivot,r1,s1,r2,s2,r3,s3,ema50,ema200,atr14,engulfing,hammer,hour,day_of_week,signal,target
1904.9,1905.25,1902.99,1905.05,0,1910.29,1916.9200000000003,1901.6000000000004,1925.61,1894.9700000000005,1932.24,1873.02,1907.5497194589243,1880.4297608781092,5.250869736816915,0,100,21,2,1,0
1922.27,1932.9,1921.74,1930.68,0,1932.2766666666664,1947.4133333333327,1922.0833333333333,1957.6066666666663,1906.9466666666667,1972.743333333333,1866.48,1929.670554214195,1907.9077184601804,5.298374279783772,100,0,16,2,1,1
1929.6,1929.85,1928.55,1929.1,0,1938.0533333333333,1956.256666666667,1928.0866666666664,1966.2233333333331,1909.8833333333328,1984.4266666666667,1863.51,1934.5657915345128,1915.7159952554896,5.345475903588154,0,100,23,3,1,0
1876.2,1877.72,1871.79,1872.36,0,1869.54,1879.32,1857.73,1891.13,1847.95,1900.91,1816.58,1896.884099546888,1914.4883867301087,4.939567873770857,-100,0,10,1,-1,0
1885.68,1885.78,1880.5,1882.16,0,1876.993333333333,1885.0566666666664,1867.6266666666663,1894.423333333333,1859.5633333333333,1902.486666666666,1834.0700000000004,1880.9083840586395,1900.0646565859597,4.418811144127075,-100,0,13,3,-1,0
1862.6,1863.08,1859.14,1859.18,0,1856.8933333333332,1863.3366666666668,1847.2966666666669,1872.9333333333332,1840.8533333333332,1879.3766666666668,1818.37,1864.774605835732,1886.5662595713604,4.524297058136283,-100,0,12,1,-1,0
1862.44,1866.32,1843.2,1856.3,0,1856.8933333333332,1863.3366666666668,1847.2966666666669,1872.9333333333332,1840.8533333333332,1879.3766666666668,1818.37,1863.9226626077236,1885.486020979112,7.053541968904384,-100,0,16,1,-1,0
1841.57,1841.86,1835.05,1838.55,0,1836.3,1842.38,1828.78,1849.9,1822.7,1855.98,1803.02,1836.4848681929373,1852.3991915840077,4.384070178572009,-80,0,15,2,-1,1
1835.87,1837.98,1830.39,1831.71,0,1820.91,1837.22,1810.68,1847.45,1794.3699999999997,1863.76,1751.5199999999995,1823.9907495004768,1834.9716508877325,3.998947072066053,-100,0,11,2,-1,0
1958.32,1960.84,1957.57,1959.52,0,1965.83,1973.05,1957.31,1981.57,1950.09,1988.79,1927.13,1966.2951193541248,1949.2184403044,4.236587140275217,80,0,6,3,1,1
1997.15,1998.27,1994.13,1994.74,0,1984.5733333333333,1995.096666666667,1978.356666666667,2001.3133333333333,1967.8333333333333,2011.836666666667,1940.57,1992.9554036775248,1999.043368698364,6.2419328990981695,-80,0,5,1,-1,0
1969.88,1973.45,1968.57,1968.57,0,1951.77,1971.5399999999995,1940.0599999999995,1983.25,1920.29,2003.0199999999995,1869.04,1956.6340073262745,1966.468836557464,5.394250903112132,-100,0,18,2,-1,0
1969.66,1969.69,1956.56,1957.66,0,1961.213333333333,1968.1266666666663,1956.1066666666663,1973.233333333333,1949.1933333333327,1980.1466666666663,1930.26,1962.9160321587603,1965.586356404068,4.87259558555448,-100,0,17,2,-1,1
1928.47,1929.5,1924.97,1925.03,0,1925.9233333333332,1930.3566666666668,1918.5266666666669,1937.753333333333,1914.0933333333332,1942.1866666666667,1897.83,1924.2381514068777,1938.3457838244287,3.833382860749606,-100,0,8,1,-1,0
1955.86,1956.99,1955.15,1956.1,0,1958.7233333333331,1965.1266666666668,1953.9066666666668,1969.9433333333332,1947.503333333333,1976.3466666666668,1929.88,1954.076944669644,1937.077582537012,3.035044341690916,80,0,13,4,1,0
1957.47,1960.93,1954.42,1960.07,0,1958.7233333333331,1965.1266666666668,1953.9066666666668,1969.9433333333332,1947.503333333333,1976.3466666666668,1929.88,1954.6263660540735,1937.7233117947292,3.522380619057924,100,0,16,4,1,0
1963.76,1966.74,1962.19,1965.72,0,1974.0466666666664,1982.7833333333328,1960.7033333333327,1996.1266666666663,1951.9666666666665,2004.863333333333,1921.15,1971.433025765538,1958.1088328258309,3.413027751419453,80,0,14,4,1,0
1963.11,1963.11,1961.62,1962.45,0,1974.0466666666664,1982.7833333333328,1960.7033333333327,1996.1266666666663,1951.9666666666665,2004.863333333333,1921.15,1968.8721251283923,1958.411947422967,3.632303355614762,0,100,22,4,1,0
1956.67,1961.9,1951.33,1961.73,0,1958.56,1963.7500000000005,1949.3200000000004,1972.99,1944.13,1978.1800000000003,1924.51,1964.4282380512948,1958.6951648856184,4.467689549605024,100,0,17,1,1,1
1899.42,1903.39,1895.71,1895.93,0,1897.1,1902.51,1887.03,1912.58,1881.62,1917.99,1860.73,1900.3096305685344,1917.3327188655392,3.3782401561513398,-100,0,16,3,-1,1
1903.74,1905.15,1901.81,1902.6,0,1896.8533333333328,1904.8366666666664,1889.2566666666664,1912.4333333333332,1881.273333333333,1920.4166666666667,1857.71,1898.15723814721,1907.1031490240423,2.6266395174546493,-80,0,12,2,-1,0
1917.22,1917.25,1914.35,1916.99,0,1919.51,1926.43,1913.04,1932.9,1906.12,1939.82,1885.81,1917.1968720775055,1912.4087581842564,2.973201618722149,0,100,15,1,1,1
1938.12,1941.52,1937.29,1941.08,0,1942.1666666666667,1945.4833333333336,1936.6133333333332,1951.0366666666669,1933.2966666666664,1954.3533333333337,1921.11,1940.648633944734,1927.562054140869,3.6246466221422735,100,0,20,4,1,0
1923.19,1929.17,1921.09,1927.79,0,1929.9766666666667,1934.8633333333332,1921.0433333333333,1943.7966666666669,1916.1566666666663,1948.6833333333336,1897.45,1930.582107318013,1928.33622495109,2.8489121462517124,100,0,16,2,1,0
1971.27,1974.12,1970.99,1973.65,0,1982.7966666666664,1988.2733333333329,1972.5533333333328,1998.5166666666664,1967.0766666666664,2003.9933333333329,1945.88,1984.743808958896,1975.3269820928028,4.294308594770357,100,0,7,1,1,0
1963.04,1963.04,1956.07,1958.35,0,1956.2333333333331,1965.1066666666668,1941.496666666667,1979.8433333333332,1932.6233333333328,1988.716666666667,1900.14,1959.075012455452,1967.8565497794125,4.742358680324496,-100,0,21,3,-1,1
2029.74,2031.08,2027.41,2030.89,0,2036.3633333333332,2051.086666666667,2025.8166666666668,2061.633333333333,2011.0933333333332,2076.3566666666666,1971.1,2033.952711015952,2024.1032810310287,4.040102688632259,0,100,23,2,1,1
2054.81,2056.23,2044.1,2045.06,0,2043.5633333333333,2050.8866666666663,2036.1666666666663,2058.2833333333333,2028.8433333333328,2065.6066666666666,2006.8,2046.2603793046665,2049.0107833319,6.176291160253667,-100,0,18,4,-1,1
2035.68,2040.17,2034.53,2034.76,0,2032.68,2039.29,2023.42,2048.55,2016.81,2055.1600000000003,1994.33,2035.232036372406,2043.8425583425944,4.269575421656821,-100,0,12,2,-1,1
2049.36,2049.41,2047.54,2048.49,0,2053.36,2060.9500000000003,2048.1600000000003,2066.15,2040.57,2073.74,2020.19,2041.2221860039936,2040.7088856435216,4.288519612166142,0,100,7,1,1,0
2048.49,2050.47,2047.34,2050.44,0,2053.36,2060.9500000000003,2048.1600000000003,2066.15,2040.57,2073.74,2020.19,2041.5836689057976,2040.805712652044,4.205768211297124,80,0,8,1,1,0
